Store,DayOfWeek,Date,Sales,Customers,Open,Promo,StateHoliday,SchoolHoliday,StoreType,Assortment,CompetitionDistance,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,Promo2,Promo2SinceWeek,Promo2SinceYear,PromoInterval,CompetitionDistance_was_missing,CompetitionOpenSince_was_missing,Suspicious_Zero_Sales
1,7,2015-01-25,0,0,0,0,0,0,c,a,1270.0,9.0,2008.0,0,,,,False,False,False
1,2,2015-01-27,4806,532,1,1,0,0,c,a,1270.0,9.0,2008.0,0,,,,False,False,False
3,1,2014-03-24,5248,696,1,0,0,0,a,a,14130.0,12.0,2006.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct",False,False,False
3,3,2014-09-03,8659,843,1,1,0,0,a,a,14130.0,12.0,2006.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct",False,False,False
3,4,2014-10-23,7177,788,1,1,0,0,a,a,14130.0,12.0,2006.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct",False,False,False
5,1,2015-05-18,7173,707,1,1,0,0,a,a,29910.0,4.0,2015.0,0,,,,False,False,False
6,4,2013-09-05,5564,692,1,0,0,0,a,a,310.0,12.0,2013.0,0,,,,False,False,False
7,2,2013-01-29,6480,793,1,0,0,0,a,c,24000.0,4.0,2013.0,0,,,,False,False,False
9,2,2015-04-14,8416,708,1,1,0,0,a,c,2030.0,8.0,2000.0,0,,,,False,False,False
11,1,2013-12-30,11656,1568,1,0,0,1,a,c,960.0,11.0,2011.0,1,1.0,2012.0,"Jan,Apr,Jul,Oct",False,False,False
11,3,2015-03-04,8625,1154,1,1,0,0,a,c,960.0,11.0,2011.0,1,1.0,2012.0,"Jan,Apr,Jul,Oct",False,False,False
11,2,2015-03-24,6661,997,1,0,0,0,a,c,960.0,11.0,2011.0,1,1.0,2012.0,"Jan,Apr,Jul,Oct",False,False,False
13,1,2013-12-02,9071,585,1,1,0,0,d,a,310.0,8.0,2010.0,1,45.0,2009.0,"Feb,May,Aug,Nov",False,True,False
14,7,2013-04-21,0,0,0,0,0,0,a,a,1300.0,3.0,2014.0,1,40.0,2011.0,"Jan,Apr,Jul,Oct",False,False,False
14,7,2013-09-15,0,0,0,0,0,0,a,a,1300.0,3.0,2014.0,1,40.0,2011.0,"Jan,Apr,Jul,Oct",False,False,False
14,7,2013-12-15,0,0,0,0,0,0,a,a,1300.0,3.0,2014.0,1,40.0,2011.0,"Jan,Apr,Jul,Oct",False,False,False
15,7,2014-01-05,0,0,0,0,0,0,d,c,4110.0,3.0,2010.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct",False,False,False
16,2,2015-03-31,10548,961,1,1,0,1,a,c,3270.0,8.0,2010.0,0,,,,False,True,False
17,1,2013-08-19,5084,768,1,0,0,1,a,a,50.0,12.0,2005.0,1,26.0,2010.0,"Jan,Apr,Jul,Oct",False,False,False
17,1,2014-04-14,11638,1139,1,1,0,0,a,a,50.0,12.0,2005.0,1,26.0,2010.0,"Jan,Apr,Jul,Oct",False,False,False
17,1,2014-05-26,4708,716,1,0,0,0,a,a,50.0,12.0,2005.0,1,26.0,2010.0,"Jan,Apr,Jul,Oct",False,False,False
17,2,2014-07-15,8993,1068,1,1,0,0,a,a,50.0,12.0,2005.0,1,26.0,2010.0,"Jan,Apr,Jul,Oct",False,False,False
17,6,2015-07-04,2592,320,1,0,0,0,a,a,50.0,12.0,2005.0,1,26.0,2010.0,"Jan,Apr,Jul,Oct",False,False,False
18,7,2013-09-29,0,0,0,0,0,0,d,c,13840.0,6.0,2010.0,1,14.0,2012.0,"Jan,Apr,Jul,Oct",False,False,False
18,2,2015-03-17,7714,814,1,1,0,0,d,c,13840.0,6.0,2010.0,1,14.0,2012.0,"Jan,Apr,Jul,Oct",False,False,False
19,5,2013-06-28,6105,572,1,0,0,0,a,c,3240.0,8.0,2010.0,1,22.0,2011.0,"Mar,Jun,Sept,Dec",False,True,False
19,4,2014-11-13,6438,663,1,1,0,0,a,c,3240.0,8.0,2010.0,1,22.0,2011.0,"Mar,Jun,Sept,Dec",False,True,False
20,5,2013-05-03,8505,848,1,1,0,0,d,a,2340.0,5.0,2009.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct",False,False,False
21,3,2013-03-27,7370,692,1,1,0,1,c,c,550.0,10.0,1999.0,1,45.0,2009.0,"Jan,Apr,Jul,Oct",False,False,False
22,7,2013-11-17,0,0,0,0,0,0,a,a,1040.0,8.0,2010.0,1,22.0,2012.0,"Jan,Apr,Jul,Oct",False,True,False
22,7,2015-01-11,0,0,0,0,0,0,a,a,1040.0,8.0,2010.0,1,22.0,2012.0,"Jan,Apr,Jul,Oct",False,True,False
22,1,2015-04-06,0,0,0,0,b,1,a,a,1040.0,8.0,2010.0,1,22.0,2012.0,"Jan,Apr,Jul,Oct",False,True,False
23,6,2014-11-29,5504,513,1,0,0,0,d,a,4060.0,8.0,2005.0,0,,,,False,False,False
23,6,2015-02-07,5326,475,1,0,0,0,d,a,4060.0,8.0,2005.0,0,,,,False,False,False
24,1,2014-11-10,11374,957,1,1,0,0,a,c,4590.0,3.0,2000.0,1,40.0,2011.0,"Jan,Apr,Jul,Oct",False,False,False
24,2,2015-02-03,11866,984,1,1,0,0,a,c,4590.0,3.0,2000.0,1,40.0,2011.0,"Jan,Apr,Jul,Oct",False,False,False
25,2,2014-06-24,8581,1361,1,0,0,0,c,a,430.0,4.0,2003.0,0,,,,False,False,False
26,5,2014-10-17,5610,523,1,0,0,1,d,a,2300.0,8.0,2010.0,0,,,,False,True,False
26,7,2015-04-05,0,0,0,0,0,0,d,a,2300.0,8.0,2010.0,0,,,,False,True,False
27,2,2013-02-12,7192,965,1,0,0,0,a,a,60.0,1.0,2005.0,1,5.0,2011.0,"Jan,Apr,Jul,Oct",False,False,False
28,5,2013-10-18,4392,547,1,0,0,0,a,a,1200.0,10.0,2014.0,1,6.0,2015.0,"Mar,Jun,Sept,Dec",False,False,False
28,4,2014-03-27,4544,570,1,0,0,0,a,a,1200.0,10.0,2014.0,1,6.0,2015.0,"Mar,Jun,Sept,Dec",False,False,False
28,5,2015-02-13,5101,573,1,0,0,1,a,a,1200.0,10.0,2014.0,1,6.0,2015.0,"Mar,Jun,Sept,Dec",False,False,False
29,4,2015-05-14,0,0,0,0,a,0,d,c,2170.0,8.0,2010.0,0,,,,False,True,False
31,2,2013-03-19,6789,599,1,1,0,0,d,c,9800.0,7.0,2012.0,0,,,,False,False,False
32,7,2015-03-29,0,0,0,0,0,0,a,a,2910.0,8.0,2010.0,1,45.0,2009.0,"Feb,May,Aug,Nov",False,True,False
33,5,2015-01-23,6797,749,1,0,0,0,a,c,1320.0,5.0,2013.0,0,,,,False,False,False
33,7,2015-02-01,0,0,0,0,0,0,a,c,1320.0,5.0,2013.0,0,,,,False,False,False
34,1,2013-01-28,6767,897,1,0,0,0,c,a,2240.0,9.0,2009.0,0,,,,False,False,False
34,5,2013-11-08,7441,1032,1,1,0,0,c,a,2240.0,9.0,2009.0,0,,,,False,False,False
34,3,2013-12-25,0,0,0,0,c,1,c,a,2240.0,9.0,2009.0,0,,,,False,False,False
35,6,2013-11-16,7420,619,1,0,0,0,d,c,7660.0,10.0,2000.0,1,1.0,2012.0,"Jan,Apr,Jul,Oct",False,False,False
35,3,2014-11-12,9994,725,1,1,0,0,d,c,7660.0,10.0,2000.0,1,1.0,2012.0,"Jan,Apr,Jul,Oct",False,False,False
35,7,2015-05-03,0,0,0,0,0,0,d,c,7660.0,10.0,2000.0,1,1.0,2012.0,"Jan,Apr,Jul,Oct",False,False,False
36,7,2013-07-21,0,0,0,0,0,0,a,c,540.0,6.0,2003.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct",False,False,False
36,3,2013-11-20,8449,1033,1,1,0,0,a,c,540.0,6.0,2003.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct",False,False,False
36,2,2015-04-07,10316,1139,1,0,0,1,a,c,540.0,6.0,2003.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct",False,False,False
38,3,2013-11-06,6274,485,1,1,0,0,d,a,1090.0,4.0,2007.0,0,,,,False,False,False
38,7,2014-03-16,0,0,0,0,0,0,d,a,1090.0,4.0,2007.0,0,,,,False,False,False
38,6,2015-02-07,6155,610,1,0,0,0,d,a,1090.0,4.0,2007.0,0,,,,False,False,False
38,5,2015-03-13,4809,449,1,0,0,0,d,a,1090.0,4.0,2007.0,0,,,,False,False,False
39,4,2013-04-18,3026,485,1,0,0,0,a,a,260.0,10.0,2006.0,1,31.0,2013.0,"Feb,May,Aug,Nov",False,False,False
40,6,2014-08-02,5544,785,1,0,0,0,a,a,180.0,8.0,2010.0,1,45.0,2009.0,"Feb,May,Aug,Nov",False,True,False
41,7,2014-03-09,0,0,0,0,0,0,d,c,1180.0,8.0,2010.0,1,31.0,2013.0,"Jan,Apr,Jul,Oct",False,True,False
42,7,2013-02-24,0,0,0,0,0,0,a,c,290.0,8.0,2010.0,1,40.0,2011.0,"Jan,Apr,Jul,Oct",False,True,False
43,6,2013-08-17,3919,402,1,0,0,0,d,a,4880.0,8.0,2010.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct",False,True,False
43,7,2014-01-26,0,0,0,0,0,0,d,a,4880.0,8.0,2010.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct",False,True,False
44,7,2014-08-31,0,0,0,0,0,0,a,a,540.0,6.0,2011.0,0,,,,False,False,False
45,3,2013-12-11,4247,335,1,0,0,0,d,a,9710.0,2.0,2014.0,0,,,,False,False,False
46,7,2013-04-07,0,0,0,0,0,0,c,a,1200.0,9.0,2005.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct",False,False,False
46,3,2014-04-09,3823,550,1,0,0,0,c,a,1200.0,9.0,2005.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct",False,False,False
47,2,2013-01-22,7282,935,1,1,0,0,a,c,270.0,4.0,2013.0,1,14.0,2013.0,"Jan,Apr,Jul,Oct",False,False,False
47,4,2013-02-14,5656,894,1,0,0,0,a,c,270.0,4.0,2013.0,1,14.0,2013.0,"Jan,Apr,Jul,Oct",False,False,False
47,2,2013-07-30,9246,1078,1,1,0,1,a,c,270.0,4.0,2013.0,1,14.0,2013.0,"Jan,Apr,Jul,Oct",False,False,False
48,6,2013-11-30,4393,452,1,0,0,0,a,a,1060.0,5.0,2012.0,0,,,,False,False,False
48,6,2014-06-07,2334,269,1,0,0,0,a,a,1060.0,5.0,2012.0,0,,,,False,False,False
48,5,2015-04-10,3496,395,1,0,0,0,a,a,1060.0,5.0,2012.0,0,,,,False,False,False
49,7,2013-03-17,0,0,0,0,0,0,d,c,18010.0,9.0,2007.0,0,,,,False,False,False
49,2,2014-03-04,7674,536,1,1,0,0,d,c,18010.0,9.0,2007.0,0,,,,False,False,False
51,7,2013-01-13,0,0,0,0,0,0,a,c,10570.0,7.0,2013.0,1,9.0,2011.0,"Jan,Apr,Jul,Oct",False,False,False
51,1,2013-07-29,8335,576,1,1,0,0,a,c,10570.0,7.0,2013.0,1,9.0,2011.0,"Jan,Apr,Jul,Oct",False,False,False
51,3,2013-11-06,6171,417,1,1,0,0,a,c,10570.0,7.0,2013.0,1,9.0,2011.0,"Jan,Apr,Jul,Oct",False,False,False
51,2,2014-01-14,4556,351,1,0,0,0,a,c,10570.0,7.0,2013.0,1,9.0,2011.0,"Jan,Apr,Jul,Oct",False,False,False
51,7,2014-06-15,0,0,0,0,0,0,a,c,10570.0,7.0,2013.0,1,9.0,2011.0,"Jan,Apr,Jul,Oct",False,False,False
51,1,2015-07-20,7202,500,1,0,0,0,a,c,10570.0,7.0,2013.0,1,9.0,2011.0,"Jan,Apr,Jul,Oct",False,False,False
53,2,2014-09-23,3878,466,1,0,0,0,a,c,30360.0,9.0,2013.0,0,,,,False,False,False
53,6,2015-03-28,4024,420,1,0,0,0,a,c,30360.0,9.0,2013.0,0,,,,False,False,False
54,5,2014-04-04,9483,826,1,1,0,0,d,c,7170.0,8.0,2014.0,1,5.0,2013.0,"Feb,May,Aug,Nov",False,False,False
54,3,2015-07-22,5212,511,1,0,0,1,d,c,7170.0,8.0,2014.0,1,5.0,2013.0,"Feb,May,Aug,Nov",False,False,False
55,5,2015-06-12,4799,586,1,0,0,0,a,a,720.0,11.0,2004.0,0,,,,False,False,False
56,6,2014-03-01,9269,625,1,0,0,0,d,c,6620.0,3.0,2012.0,1,10.0,2014.0,"Mar,Jun,Sept,Dec",False,False,False
56,3,2014-10-15,5737,426,1,0,0,0,d,c,6620.0,3.0,2012.0,1,10.0,2014.0,"Mar,Jun,Sept,Dec",False,False,False
56,1,2015-04-06,0,0,0,0,b,1,d,c,6620.0,3.0,2012.0,1,10.0,2014.0,"Mar,Jun,Sept,Dec",False,False,False
57,6,2014-02-01,10311,906,1,0,0,0,d,c,420.0,6.0,2014.0,0,,,,False,False,False
59,3,2013-04-10,6171,602,1,1,0,0,a,c,2840.0,6.0,2007.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct",False,False,False
59,7,2013-07-14,0,0,0,0,0,0,a,c,2840.0,6.0,2007.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct",False,False,False
59,4,2013-10-24,5653,575,1,1,0,1,a,c,2840.0,6.0,2007.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct",False,False,False
59,1,2014-06-23,4894,589,1,0,0,0,a,c,2840.0,6.0,2007.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct",False,False,False
59,6,2014-09-13,2558,287,1,0,0,0,a,c,2840.0,6.0,2007.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct",False,False,False
60,6,2015-02-28,5879,512,1,0,0,0,d,c,5540.0,10.0,2009.0,0,,,,False,False,False
61,3,2013-12-25,0,0,0,0,c,1,a,c,350.0,12.0,2007.0,1,1.0,2012.0,"Jan,Apr,Jul,Oct",False,False,False
61,3,2014-07-30,5601,616,1,1,0,0,a,c,350.0,12.0,2007.0,1,1.0,2012.0,"Jan,Apr,Jul,Oct",False,False,False
63,4,2013-06-27,5504,522,1,0,0,1,c,c,3700.0,6.0,2010.0,1,18.0,2010.0,"Feb,May,Aug,Nov",False,False,False
63,1,2015-02-02,8183,682,1,1,0,0,c,c,3700.0,6.0,2010.0,1,18.0,2010.0,"Feb,May,Aug,Nov",False,False,False
64,2,2015-04-21,7374,591,1,0,0,0,d,c,22560.0,8.0,2010.0,1,14.0,2013.0,"Jan,Apr,Jul,Oct",False,True,False
65,7,2014-08-17,0,0,0,0,0,0,a,c,13840.0,5.0,2010.0,1,1.0,2012.0,"Jan,Apr,Jul,Oct",False,False,False
66,5,2013-03-08,6374,580,1,1,0,0,d,a,7660.0,8.0,2010.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct",False,True,False
66,5,2013-04-12,7037,601,1,1,0,0,d,a,7660.0,8.0,2010.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct",False,True,False
67,4,2014-02-06,8896,877,1,1,0,0,a,c,410.0,2.0,2006.0,0,,,,False,False,False
68,3,2014-04-09,6627,1122,1,0,0,0,a,c,250.0,8.0,2010.0,1,35.0,2012.0,"Mar,Jun,Sept,Dec",False,True,False
70,7,2013-07-28,0,0,0,0,0,1,c,c,4840.0,8.0,2010.0,0,,,,False,True,False
70,3,2013-08-14,7306,780,1,1,0,0,c,c,4840.0,8.0,2010.0,0,,,,False,True,False
70,4,2014-06-19,6552,689,1,1,0,0,c,c,4840.0,8.0,2010.0,0,,,,False,True,False
70,4,2014-11-27,8317,779,1,1,0,0,c,c,4840.0,8.0,2010.0,0,,,,False,True,False
